,Location,Genotype,row,col,PlHa,PHI,YdHa,YdPl,SW,PSN,SWP,HI,VPP,StWP,PlHa_cat
0,Caribia,G40001,57.0,3.5,8.5,79.81396579086581,787.5,29.49230769230769,,,,,,,3.5
1,Caribia,G40019,54.0,3.5,19.0,83.52941176470587,574.5833333333333,7.257894736842106,,,,,,,9.0
2,Caribia,G40056,40.5,3.5,7.0,64.70588235294117,49.58333333333333,1.7,,,,,,,3.0
3,Caribia,G40111,54.5,4.0,23.0,77.13056508918643,1166.2499999999998,12.281818181818181,,,,,,,10.5
4,Caribia,G40287,37.75,3.75,30.666666666666668,66.66666666666666,356.38888888888886,2.8000928792569657,,,,,,,14.333333333333334
5,Espinal,G40056,9.0,21.0,12.5,66.699604743083,2127.0190353143844,36.15933164567184,0.051000000000000004,,,,,,5.5
6,Espinal,G40287,6.0,40.0,16.5,64.95238095238095,2512.325519487511,33.0106350129199,0.051000000000000004,,,,,,7.5
7,INV-M3-1,G40056,20.0,17.5,3.5,59.52107262,1944.5833335,13.9175,0.035775151000000005,4.4117606205,0.15704850098391016,50.53501567,1.0,13.8,1.0
8,INV-M3-1,G40111,15.5,20.5,4.0,77.825482445,3696.4583334999998,22.17875,0.165526502,5.0310097835,0.8290557302585604,62.852256280000006,2.5,27.16,1.0
9,INV-M3-1,G40287,17.5,23.5,4.0,63.12188115,2481.875,14.89125,0.0414800315,5.05193437,0.20942089810017273,52.633302855,18.0,16.275,1.0
10,INV-M3-2,G40056,31.0,5.0,4.0,66.69285153,1768.75,10.6125,0.035375,6.091370558,0.2154822335025381,58.31845034,5.0,9.14,1.0
11,INV-M3-2,G40111,13.0,12.0,4.0,76.34211348,4782.708333500001,28.69625,0.155831484,5.3079874055,0.8264892977392977,62.31805158,3.5,33.215,1.0
12,INV-M3-2,G40287,28.0,8.0,3.5,75.28008299,3023.75,18.1425,0.044685961,6.151515152,0.2748863636363636,67.19444444,35.0,9.61,1.0
13,M3-AMBIENTE,G40056,32.5,8.0,1.0,46.948019375,333.95833335,8.015,0.036691628500000004,2.281978022,0.08358186813186813,39.3880635,1.0,3.2750000000000004,0.0
14,M3-AMBIENTE,G40111,12.5,4.5,2.5,73.96202604,1585.208333,14.720833335,0.133269972,4.96302521,0.6532184873949579,60.22091576,3.0,11.350000000000001,0.5
15,M3-AMBIENTE,G40287,5.0,11.0,2.0,56.72554348,695.8333333,8.35,0.036946903,3.930434783,0.14521739130434783,48.22408316,,5.19,0.0
